ID,Nom,Cognom,Sexe,Data Naixement,NIF,IBAN,REVISIO,ADREÇA,CODI POSTAL, FOTO,Nom Equip
2,Jordi,Ferrer Casas,H,2015-03-10,11223344C,ES9420805801101234567891,null,Passeig de Gràcia 789,Passeig de Gràcia 789,08008,C:\Users\isard\Desktop\FOTOS-bd\pexels-olly-712513.jpg,B
22,Júlia,Carreras Valls,D,1990-03-07,11224433T,ES3300302053091234567823,null,Plaça Catalunya 12,Plaça Catalunya 12,08088,C:\\Users\\isard\\Desktop\\FOTOS-bd\\pexels-olly-774909.jpg,F
12,Laia,Martínez Soler,D,1998-09-22,87654321B,ES6000491500051234567892,null,Avinguda Diagonal 456,Avinguda Diagonal 456,08028,C:\Users\isard\Desktop\FOTOS-bd\pexels-pexels-clarango-3866555.jpg,I
16,Laura,Mestre Vidal,D,2010-12-12,66778899X,ES2200302053091234567897,null,Carrer de la Marina 99,Carrer de la Marina 99,08025,C:\\Users\\isard\\Desktop\\FOTOS-bd\\pexels-olly-712513.jpg,Sense equip
1,Marc,García Puig,H,2012-05-15,12345678A,ES6621000418401234567891,null,Carrer Major 123,Carrer Major 123,08001,C:\Users\isard\Desktop\FOTOS-bd\pexels-danxavier-1121796.jpg,B
1,Marc,García Puig,H,2012-05-15,12345678A,ES6621000418401234567891,null,Carrer Major 123,Carrer Major 123,08001,C:\Users\isard\Desktop\FOTOS-bd\pexels-danxavier-1121796.jpg,C
7,Marta,Ribas Prat,D,2007-04-03,67890123J,ES5400302053091234567800,null,Carrer Consell de Cent 456,Carrer Consell de Cent 456,08011,C:\Users\isard\Desktop\FOTOS-bd\pexels-danxavier-1121796.jpg,A
23,Miquel,Duran Solé,H,1988-07-29,55667799U,ES4400302053091234567813,null,Avinguda Paral·lel 78,Avinguda Paral·lel 78,08004,C:\\Users\\isard\\Desktop\\FOTOS-bd\\pexels-simon-robben-55958-614810.jpg,F
3,Núria,Vidal Roca,D,2017-11-05,55667788D,ES9000246912501234567891,null,Rambla Catalunya 101,Rambla Catalunya 101,08010,C:\Users\isard\Desktop\FOTOS-bd\pexels-olly-774909.jpg,C
6,Pau,Sánchez Pujol,H,1998-07-09,99887766E,ES7100302053091234567895,null,Carrer Balmes 202,Carrer Balmes 202,08007,C:\Users\isard\Desktop\FOTOS-bd\realistic_soccer_player.jpg,H
6,Pau,Sánchez Pujol,H,1998-07-09,99887766E,ES7100302053091234567895,null,Carrer Balmes 202,Carrer Balmes 202,08007,C:\Users\isard\Desktop\FOTOS-bd\realistic_soccer_player.jpg,F
10,Paula,Molina Sánchez,D,2004-05-07,01234567N,ES2100302053091234567804,null,Carrer de Pau Claris 200,Carrer de Pau Claris 200,08010,C:\Users\isard\Desktop\FOTOS-bd\pexels-simon-robben-55958-614810.jpg,E
8,Pol,Cruz Bonet,H,2009-02-18,56789012I,ES4300302053091234567899,null,Passeig de Sant Joan 12,Passeig de Sant Joan 12,08009,C:\Users\isard\Desktop\FOTOS-bd\pexels-olly-712513.jpg,F
18,Sara,Costa Serrano,D,2009-04-19,22334455Q,ES1100302053091234567808,null,Carrer Diputació 45,Carrer Diputació 45,08009,C:\\Users\\isard\\Desktop\\FOTOS-bd\\pexels-olly-774909.jpg,Sense equip
14,Sergi,Navarro Pérez,H,1995-06-15,78901234K,ES5400302053091234567801,null,Carrer Urgell 89,Carrer Urgell 89,08011,C:\\Users\\isard\\Desktop\\FOTOS-bd\\pexels-olly-774909.jpg,G
19,Víctor,Nadal Ros,H,2004-09-14,33445577G,ES5200302053091234567809,null,Gran Via 80,Gran Via 80,08013,C:\\Users\\isard\\Desktop\\FOTOS-bd\\pexels-simon-robben-55958-614810.jpg,A
17,Xavier,Prats Llorente,H,2010-07-20,33445566P,ES3100302053091234567806,null,Carrer Provença 110,Carrer Provença 110,08008,C:\\Users\\isard\\Desktop\\FOTOS-bd\\pexels-danxavier-1121796.jpg,Sense equip
